KE	T	
1	1	2
2	2	3
3	3	4
4	4	1
5	5	6
6	6	7
7	7	8
8	8	5
9	9	10
10	10	11
11	11	12
12	12	9
13	1	5
14	5	9
15	2	6
16	6	10
17	3	7
18	7	11
19	4	8
20	8	12
21	1	6
22	2	7
23	3	8
24	4	5
25	6	9
26	7	10
27	8	11
28	5	12
1	13	14
2	14	15
3	15	16
4	16	13
5	17	18
6	18	19
7	19	20
8	20	17
9	21	22
10	22	23
11	23	24
12	24	21
13	9	13
14	13	17
15	10	14
16	14	18
17	11	15
18	15	19
19	12	16
20	16	20
21	9	14
22	10	15
23	11	16
24	12	13
25	14	17
26	15	18
27	16	19
28	13	20
13	17	21
14	21	25
15	18	22
16	22	26
17	19	23
18	23	27
19	20	24
20	24	28
21	17	22
22	18	23
23	19	24
24	20	21
25	22	25
26	23	26
27	24	27
28	21	28
1	25	26
2	26	27
3	27	28
4	28	25
5	29	30
6	30	31
7	31	32
8	32	29
9	33	34
10	34	35
11	35	36
12	36	33
13	25	29
14	29	33
15	26	30
16	30	34
17	27	31
18	31	35
19	28	32
20	32	36
21	25	30
22	26	31
23	27	32
24	28	29
25	30	33
26	31	34
27	32	35
28	29	36
1	37	38
2	38	39
3	39	40
4	40	37
5	41	42
6	42	43
7	43	44
8	44	41
9	45	46
10	46	47
11	47	48
12	48	45
13	33	37
14	37	41
15	34	38
16	38	42
17	35	39
18	39	43
19	36	40
20	40	44
21	33	38
22	34	39
23	35	40
24	36	37
25	38	41
26	39	42
27	40	43
28	37	44
1	49	50
2	50	51
3	51	52
4	52	49
5	53	54
6	54	55
7	55	56
8	56	53
9	57	58
10	58	59
11	59	60
12	60	57
13	41	45
14	45	49
15	42	46
16	46	50
17	43	47
18	47	51
19	44	48
20	48	52
21	41	46
22	42	47
23	43	48
24	44	45
25	46	49
26	47	50
27	48	51
28	45	52
13	49	53
14	53	57
15	50	54
16	54	58
17	51	55
18	55	59
19	52	56
20	56	60
21	49	54
22	50	55
23	51	56
24	52	53
25	54	57
26	55	58
27	56	59
28	53	60
1	61	62
2	62	63
3	63	64
4	64	61
5	65	66
6	66	67
7	67	68
8	68	65
9	69	70
10	70	71
11	71	72
12	72	69
13	57	61
14	61	65
15	58	62
16	62	66
17	59	63
18	63	67
19	60	64
20	64	68
21	57	62
22	58	63
23	59	64
24	60	61
25	62	65
26	63	66
27	64	67
28	61	68
1	73	74
2	74	75
3	75	76
4	76	73
5	77	78
6	78	79
7	79	80
8	80	77
9	81	82
10	82	83
11	83	84
12	84	81
13	65	69
14	69	73
15	66	70
16	70	74
17	67	71
18	71	75
19	68	72
20	72	76
21	65	70
22	66	71
23	67	72
24	68	69
25	70	73
26	71	74
27	72	75
28	69	76
13	73	77
14	77	81
15	74	78
16	78	82
17	75	79
18	79	83
19	76	80
20	80	84
21	73	78
22	74	79
23	75	80
24	76	77
25	78	81
26	79	82
27	80	83
28	77	84
34	85	86
34	86	87
34	87	88
34	88	85
34	89	90
34	90	91
34	91	92
34	92	89
23	93	94
23	94	95
23	95	96
23	96	93
23	81	85
23	82	86
23	83	87
23	84	88
23	85	89
23	86	90
23	87	91
23	88	92
23	89	93
23	90	94
23	91	95
23	92	96
25	81	86
25	86	89
25	89	94
25	82	87
25	87	90
25	90	95
25	83	88
25	88	91
25	91	96
25	84	85
25	85	92
25	92	93
4	93	97
4	94	97
4	95	97
4	96	97
	78	98
	98	99
	99	79
	82	100
	83	100
	78	100
	98	100
	99	100
	79	100
	78	99
	98	101
	101	102
	102	99
	98	103
	101	103
	102	103
	99	103
	98	102
	101	104
	104	105
	105	102
	101	106
	104	106
	105	106
	102	106
	101	105
	104	107
	107	108
	108	105
	104	109
	107	109
	108	109
	105	109
	104	108
	107	110
	110	111
	111	108
	107	112
	110	112
	111	112
	108	112
	107	111
	110	113
	113	114
	114	111
	110	115
	113	115
	114	115
	111	115
	110	114
	113	116
	116	117
	117	114
	113	118
	116	118
	117	118
	114	118
	113	117
	116	119
	119	120
	120	117
	116	121
	119	121
	120	121
	117	121
	116	120
	119	122
	122	123
	123	120
	119	124
	122	124
	123	124
	120	124
	119	123
	122	125
	125	126
	126	123
	122	127
	125	127
	126	127
	123	127
	122	126
	125	128
	128	129
	129	126
	125	130
	128	130
	129	130
	126	130
	125	129
	128	131
	131	132
	132	129
	128	133
	131	133
	132	133
	129	133
	128	132
	131	134
	134	135
	135	132
	131	136
	134	136
	135	136
	132	136
	131	135
	134	137
	137	138
	138	135
	134	139
	137	139
	138	139
	135	139
	134	138
	137	140
	140	141
	141	138
	137	142
	140	142
	141	142
	138	142
	137	141
	140	143
	143	144
	144	141
	140	145
	143	145
	144	145
	141	145
	140	144
	143	146
	146	147
	147	144
	143	148
	146	148
	147	148
	144	148
	143	147
	146	149
	149	150
	150	147
	146	151
	149	151
	150	151
	147	151
	146	150
	149	152
	152	153
	153	150
	149	154
	152	154
	153	154
	150	154
	149	153
	152	155
	155	156
	156	153
	152	157
	155	157
	156	157
	153	157
	152	156
	155	158
	158	159
	159	156
	155	160
	158	160
	159	160
	156	160
	155	159
	100	103
	103	106
	106	109
	109	112
	112	115
	115	118
	118	121
	121	124
	124	127
	127	130
	130	133
	133	136
	136	139
	139	142
	142	145
	145	148
	148	151
	151	154
	154	157
	157	160
	77	161
	80	162
	161	162
	163	164
	164	165
	165	166
	166	163
	167	168
	168	169
	169	170
	170	167
	171	172
	172	173
	173	174
	174	171
	175	176
	176	177
	177	178
	178	175
	179	180
	180	181
	181	182
	182	179
	183	184
	184	185
	185	186
	186	183
	187	188
	161	166
	162	165
	77	163
	80	164
	163	167
	164	168
	165	169
	166	170
	167	171
	168	172
	169	173
	170	174
	171	175
	172	176
	173	177
	174	178
	175	179
	176	180
	177	181
	178	182
	179	183
	180	184
	181	185
	182	186
	183	187
	184	188
	161	163
	162	164
	166	167
	165	168
	170	171
	169	172
	174	175
	173	176
	178	179
	177	180
	182	183
	181	184
	186	187
	185	188
	80	163
	164	167
	168	171
	172	175
	176	179
	180	183
	184	187
	162	166
	165	170
	169	174
	173	178
	177	182
	181	186
	97	130
	97	181
	97	182
	81	161
	84	162
