T	X	Y	Z
1	0	0	0
2	2000	0	0
3	2000	2000	0
4	0	2000	0
5	0	0	2000
6	2000	0	2000
7	2000	2000	2000
8	0	2000	2000
9	0	0	4000
10	2000	0	4000
11	2000	2000	4000
12	0	2000	4000
13	0	0	6000
14	2000	0	6000
15	2000	2000	6000
16	0	2000	6000
17	0	0	8000
18	2000	0	8000
19	2000	2000	8000
20	0	2000	8000
21	0	0	10000
22	2000	0	10000
23	2000	2000	10000
24	0	2000	10000
25	0	0	12000
26	2000	0	12000
27	2000	2000	12000
28	0	2000	12000
29	0	0	14000
30	2000	0	14000
31	2000	2000	14000
32	0	2000	14000
33	0	0	16000
34	2000	0	16000
35	2000	2000	16000
36	0	2000	16000
37	0	0	18000
38	2000	0	18000
39	2000	2000	18000
40	0	2000	18000
41	0	0	20000
42	2000	0	20000
43	2000	2000	20000
44	0	2000	20000
45	0	0	22000
46	2000	0	22000
47	2000	2000	22000
48	0	2000	22000
49	0	0	24000
50	2000	0	24000
51	2000	2000	24000
52	0	2000	24000
53	0	0	26000
54	2000	0	26000
55	2000	2000	26000
56	0	2000	26000
57	0	0	28000
58	2000	0	28000
59	2000	2000	28000
60	0	2000	28000
61	0	0	30000
62	2000	0	30000
63	2000	2000	30000
64	0	2000	30000
65	0	0	32000
66	2000	0	32000
67	2000	2000	32000
68	0	2000	32000
69	0	0	34000
70	2000	0	34000
71	2000	2000	34000
72	0	2000	34000
73	0	0	36000
74	2000	0	36000
75	2000	2000	36000
76	0	2000	36000
77	0	0	38000
78	2000	0	38000
79	2000	2000	38000
80	0	2000	38000
81	0	0	40000
82	2000	0	40000
83	2000	2000	40000
84	0	2000	40000
85	250	250	42000
86	1750	250	42000
87	1750	1750	42000
88	250	1750	42000
89	500	500	44000
90	1500	500	44000
91	1500	1500	44000
92	500	1500	44000
93	750	750	46000
94	1250	750	46000
95	1250	1250	46000
96	750	1250	46000
97	1000	1000	47000
98	4000	0	38000
99	4000	2000	38000
100	3000	1000	40000
101	6000	0	38000
102	6000	2000	38000
103	5000	1000	40000
104	8000	0	38000
105	8000	2000	38000
106	7000	1000	40000
107	10000	0	38000
108	10000	2000	38000
109	9000	1000	40000
110	12000	0	38000
111	12000	2000	38000
112	11000	1000	40000
113	14000	0	38000
114	14000	2000	38000
115	13000	1000	40000
116	16000	0	38000
117	16000	2000	38000
118	15000	1000	40000
119	18000	0	38000
120	18000	2000	38000
121	17000	1000	40000
122	20000	0	38000
123	20000	2000	38000
124	19000	1000	40000
125	22000	0	38000
126	22000	2000	38000
127	21000	1000	40000
128	24000	0	38000
129	24000	2000	38000
130	23000	1000	40000
131	26000	0	38000
132	26000	2000	38000
133	25000	1000	40000
134	28000	0	38000
135	28000	2000	38000
136	27000	1000	40000
137	30000	0	38000
138	30000	2000	38000
139	29000	1000	40000
140	32000	0	38000
141	32000	2000	38000
142	31000	1000	40000
143	34000	0	38000
144	34000	2000	38000
145	33000	1000	40000
146	36000	0	38000
147	36000	2000	38000
148	35000	1000	40000
149	38000	0	38000
150	38000	2000	38000
151	37000	1000	40000
152	40000	0	38000
153	40000	2000	38000
154	39000	1000	40000
155	42000	0	38000
156	42000	2000	38000
157	41000	1000	40000
158	44000	0	38000
159	44000	2000	38000
160	43000	1000	40000
161	-1000	0	40000
162	-1000	2000	40000
163	-2000	0	38000
164	-2000	2000	38000
165	-3000	2000	40000
166	-3000	0	40000
167	-4000	0	38000
168	-4000	2000	38000
169	-5000	2000	40000
170	-5000	0	40000
171	-6000	0	38000
172	-6000	2000	38000
173	-7000	2000	40000
174	-7000	0	40000
175	-8000	0	38000
176	-8000	2000	38000
177	-9000	2000	40000
178	-9000	0	40000
179	-10000	0	38000
180	-10000	2000	38000
181	-11000	2000	40000
182	-11000	0	40000
183	-12000	0	38000
184	-12000	2000	38000
185	-13000	2000	40000
186	-13000	0	40000
187	-14000	0	38000
188	-14000	2000	38000
